Tid,Temp.,Nedbør mm,Vindbeskrivelse,Vind [m/s],Vindkast [m/s],Log Time,Sted
0,15°,0,2 m/s fra vest med vindkast på 3 m/s,2,3,08/10/21 23:55:06,Falster
1,15°,0,3 m/s fra vest med vindkast på 4 m/s,3,4,08/11/21 00:55:06,Falster
2,15°,0,2 m/s fra vest med vindkast på 4 m/s,2,4,08/11/21 01:55:06,Falster
3,14°,0,2 m/s fra vest med vindkast på 4 m/s,2,4,08/11/21 02:55:05,Falster
4,14°,0,3 m/s fra vest med vindkast på 5 m/s,3,5,08/11/21 03:55:05,Falster
5,14°,0,3 m/s fra vest med vindkast på 5 m/s,3,5,08/11/21 04:55:05,Falster
6,14°,0,2 m/s fra vest med vindkast på 4 m/s,2,4,08/11/21 05:55:06,Falster
7,15°,0,2 m/s fra vest med vindkast på 4 m/s,2,4,08/11/21 06:55:05,Falster
8,16°,0,3 m/s fra vest med vindkast på 5 m/s,3,5,08/11/21 07:55:05,Falster
9,18°,0,4 m/s fra nordvest med vindkast på 8 m/s,4,8,08/11/21 08:55:05,Falster
10,18°,0,4 m/s fra nordvest med vindkast på 8 m/s,4,8,08/11/21 09:55:05,Falster
11,19°,0,4 m/s fra vest med vindkast på 8 m/s,4,8,08/11/21 10:55:05,Falster
12,20°,0,4 m/s fra vest med vindkast på 8 m/s,4,8,08/11/21 11:55:05,Falster
13,20°,0,5 m/s fra vest med vindkast på 10 m/s,5,10,08/11/21 12:55:05,Falster
14,22°,0,5 m/s fra vest med vindkast på 9 m/s,5,9,08/11/21 13:55:05,Falster
15,23°,0,5 m/s fra vest med vindkast på 9 m/s,5,9,08/11/21 14:55:05,Falster
16,23°,0,5 m/s fra vest med vindkast på 10 m/s,5,10,08/11/21 15:55:04,Falster
17,24°,0,5 m/s fra vest med vindkast på 10 m/s,5,10,08/11/21 16:55:05,Falster
18,22°,0,5 m/s fra vest med vindkast på 10 m/s,5,10,08/11/21 17:55:05,Falster
19,22°,0,3 m/s fra vest med vindkast på 9 m/s,3,9,08/11/21 18:55:05,Falster
20,21°,0,3 m/s fra vest med vindkast på 5 m/s,3,5,08/11/21 19:55:05,Falster
21,20°,0,2 m/s fra vest med vindkast på 5 m/s,2,5,08/11/21 20:55:05,Falster
22,17°,0,2 m/s fra sørvest med vindkast på 3 m/s,2,3,08/11/21 21:55:04,Falster
23,16°,0,2 m/s fra sørvest med vindkast på 3 m/s,2,3,08/11/21 22:55:05,Falster
0,16°,0,2 m/s fra sørvest med vindkast på 3 m/s,2,3,08/11/21 23:55:05,Falster
1,15°,0,2 m/s fra vest med vindkast på 3 m/s,2,3,08/12/21 00:55:05,Falster
2,15°,0,2 m/s fra sørvest med vindkast på 3 m/s,2,3,08/12/21 01:55:05,Falster
3,14°,0,1 m/s fra vest med vindkast på 2 m/s,1,2,08/12/21 02:55:05,Falster
4,14°,0,1 m/s fra vest med vindkast på 2 m/s,1,2,08/12/21 03:55:05,Falster
5,13°,0,1 m/s fra sørvest med vindkast på 2 m/s,1,2,08/12/21 04:55:05,Falster
6,13°,0,1 m/s fra sørvest med vindkast på 1 m/s,1,1,08/12/21 05:55:06,Falster
7,14°,0,1 m/s fra sørvest med vindkast på 2 m/s,1,2,08/12/21 06:55:05,Falster
8,17°,0,1 m/s fra sør med vindkast på 2 m/s,1,2,08/12/21 07:55:05,Falster
9,19°,0,3 m/s fra sør med vindkast på 5 m/s,3,5,08/12/21 08:55:05,Falster
10,21°,0,3 m/s fra sørvest med vindkast på 6 m/s,3,6,08/12/21 09:55:05,Falster
11,22°,0,4 m/s fra sørvest med vindkast på 7 m/s,4,7,08/12/21 10:55:05,Falster
12,23°,0,4 m/s fra sørvest med vindkast på 8 m/s,4,8,08/12/21 11:55:05,Falster
